Date,Open,High,Low,Close
20200323,8905.0,8905.0,8556.0,8685.0
20200324,8666.0,9294.0,8666.0,9188.0
20200325,9421.0,9697.0,9370.0,9581.0
20200326,9680.0,9727.0,9427.0,9640.0
20200327,10222.0,10222.0,9549.0,9580.0
20200330,9300.0,9575.0,9266.0,9575.0
20200331,9552.0,9717.0,9496.0,9596.0
20200401,9700.0,9700.0,9545.0,9553.0
20200406,9440.0,9860.0,9440.0,9826.0
20200407,10000.0,10019.0,9879.0,9998.0
20200408,9997.0,10135.0,9934.0,10127.0
20200409,10000.0,10197.0,10000.0,10100.0
20200410,10140.0,10140.0,10033.0,10134.0
20200413,9988.0,10149.0,9988.0,10073.0
20200414,10188.0,10355.0,10120.0,10344.0
20200415,10336.0,10463.0,10289.0,10450.0
20200416,10120.0,10342.0,10120.0,10302.0
20200417,10700.0,10700.0,10456.0,10562.0
20200420,10350.0,10560.0,10350.0,10478.0
20200421,10420.0,10467.0,10144.0,10197.0
20200422,10220.0,10226.0,10065.0,10224.0
20200423,10315.0,10402.0,10155.0,10293.0
20200424,10200.0,10292.0,10200.0,10270.0
20200427,10333.0,10567.0,10333.0,10546.0
20200428,10640.0,10640.0,10480.0,10583.0
20200429,10655.0,10770.0,10600.0,10710.0
20200430,10711.0,10971.0,10711.0,10947.0
20200504,10400.0,10698.0,10400.0,10613.0
20200505,10740.0,10794.0,10658.0,10724.0
20200506,10600.0,10780.0,10600.0,10752.0
20200507,10748.0,10876.0,10701.0,10834.0
20200508,10811.0,10956.0,10811.0,10896.0
20200511,10904.0,11038.0,10904.0,10981.0
20200512,10940.0,10961.0,10803.0,10865.0
20200513,10841.0,10925.0,10750.0,10915.0
20200514,10850.0,10876.0,10738.0,10751.0
20200515,10850.0,10869.0,10701.0,10819.0
20200518,10990.0,10990.0,10724.0,10761.0
20200519,10921.0,10964.0,10836.0,10870.0
20200520,10550.0,10959.0,10550.0,10887.0
20200521,10925.0,11007.0,10894.0,10951.0
20200522,10940.0,10946.0,10723.0,10744.0
20200525,10801.0,10840.0,10651.0,10816.0
20200526,11000.0,11027.0,10890.0,10985.0
20200527,10894.0,11037.0,10894.0,10972.0
20200528,11063.0,11077.0,10856.0,10908.0
20200529,10900.0,10950.0,10806.0,10922.0
20200601,11250.0,11250.0,10972.0,11059.0
20200602,10950.0,11140.0,10950.0,11107.0
20200603,11270.0,11299.0,11206.0,11283.0
20200604,11414.0,11425.0,11306.0,11359.0
20200605,11346.0,11472.0,11346.0,11458.0
20200608,11554.0,11626.0,11491.0,11571.0
20200609,11614.0,11622.0,11521.0,11608.0
20200610,11611.0,11730.0,11596.0,11703.0
20200611,11705.0,11738.0,11475.0,11488.0
20200612,11400.0,11432.0,11250.0,11395.0
20200615,11350.0,11446.0,11217.0,11227.0
20200616,11499.0,11554.0,11421.0,11525.0
20200617,11440.0,11568.0,11400.0,11520.0
20200618,11372.0,11425.0,11295.0,11396.0
20200619,11450.0,11452.0,11362.0,11409.0
20200622,11341.0,11498.0,11341.0,11423.0
20200623,11400.0,11540.0,11346.0,11455.0
20200624,11560.0,11570.0,11503.0,11524.0
20200629,11356.0,11458.0,11315.0,11363.0
20200630,11450.0,11502.0,11412.0,11469.0
20200701,11499.0,11623.0,11472.0,11545.0
20200702,11581.0,11711.0,11566.0,11697.0
20200703,11828.0,11850.0,11751.0,11837.0
20200706,12120.0,12120.0,11905.0,12065.0
20200707,12168.0,12192.0,11990.0,12027.0
20200708,11999.0,12145.0,11999.0,12126.0
20200709,12202.0,12222.0,12118.0,12147.0
20200710,12200.0,12212.0,11987.0,11998.0
20200713,12110.0,12215.0,12105.0,12205.0
20200714,12115.0,12224.0,12115.0,12188.0
20200715,12200.0,12323.0,12151.0,12220.0
20200716,12005.0,12094.0,11931.0,12032.0
20200717,12069.0,12138.0,12012.0,12039.0
20200720,12075.0,12075.0,11904.0,12032.0
20200721,12111.0,12324.0,12111.0,12290.0
20200722,12348.0,12360.0,12257.0,12332.0
20200723,12290.0,12339.0,12199.0,12290.0
20200724,12170.0,12352.0,12123.0,12150.0
20200727,12408.0,12571.0,12365.0,12502.0
20200728,12853.0,12900.0,12408.0,12447.0
20200729,12485.0,12543.0,12391.0,12429.0
20200730,12500.0,12627.0,12488.0,12597.0
20200731,12540.0,12644.0,12525.0,12577.0
20200803,12576.0,12576.0,12405.0,12444.0
20200804,12471.0,12632.0,12464.0,12629.0
20200805,12693.0,12746.0,12644.0,12744.0
20200806,12765.0,12925.0,12753.0,12835.0
20200807,12880.0,12880.0,12707.0,12763.0
20200810,12751.0,12905.0,12720.0,12855.0
20200811,12818.0,12874.0,12727.0,12736.0
20200812,12728.0,12728.0,12566.0,12655.0
20200813,12782.0,12836.0,12702.0,12721.0
20200814,12670.0,12790.0,12646.0,12790.0
20200817,12701.0,12958.0,12700.0,12955.0
20200818,12965.0,12998.0,12836.0,12877.0
20200819,13000.0,13000.0,12781.0,12806.0
20200820,12770.0,12770.0,12068.0,12302.0
20200821,12370.0,12598.0,12370.0,12544.0
20200824,12652.0,12652.0,12503.0,12605.0
20200825,12643.0,12794.0,12643.0,12737.0
20200826,12706.0,12799.0,12681.0,12794.0
20200827,12820.0,12925.0,12736.0,12761.0
20200828,12640.0,12782.0,12634.0,12692.0
20200831,12800.0,12826.0,12564.0,12590.0
20200901,12620.0,12697.0,12527.0,12691.0
20200902,12700.0,12776.0,12595.0,12691.0
20200903,12770.0,12858.0,12705.0,12733.0
